pertanyaan,jawaban,konteks
leres atanapi henteu kampak pakakas paranti maledogkeun batu,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
"leres atanapi henteu pakakas anu dijieun tina awi atawa tina kai, sok ditabeuh pikeun totonden ayana begal ngulampreng ka jero lembur namina kohkol",leres,"Kohkol nyaeta salah sahiji waditra anu dijieun tina awi atawa tina kai, sok ditabeuh pikeun totonden ayana begal ngulampreng ka jero lembur"
leres atanapi henteu pakakas anu sok  dipaké mangsa keur ngangon maksudna sangkan munding anu ngencar katohya ka mana léosna namina kolotok,leres,"Kolotok nyaéta hiji barang anu sok digantungkeun dina beuheung munding, utamana dipaké mangsa keur ngangon maksudna sangkan munding anu ngencar katohya ka mana léosna"
leres atanapi henteu korang alat paranti ngawadahan lauk tina anyaman awi,leres,Korang aya ogé anu nyebut kempis nyaéta wadah lauk tina anyaman tangkal awi sok disorén kutukang ngala lauk
leres atanapi henteu kowi alat paragi meuleum logam,leres,"Kowi nyaéta wadah kawas mangkok paragi meuleum logam siga emas, pérak, beusi, alumunium, séng, beling, jeung bahan séjéna nepikeun ka lééh"
leres atanapi henteu kukumbul pakakas nguseup jang tanda kanu nguseup,leres,"Kukumbul nyaéta pakakas paranti nguseup anu mibanda kagunaan méré tangara kanu nguseup upama eupana aya nunyanggut, nangtukeun déét jeung jerona neundeun eupan di jero cai"
leres atanapi henteu lalandak pakakas paranti mersihan jujukutan dina sawah,leres,"Lalandak disebut ogé gasrok nyaéta pakakas pikeun mérésihan hama jujukutan anu harirup dina sela-sela dapuran paré, wangunna kawas gilinding anu carucukan dijieun tina kai atawa beusi, cucukna dijieun tina beusi bisa ogé dijieun tina paku anu dielukeun tungtungna"
leres atanapi henteu lambit nyaeta sair gede,leres,Lambit nyaéta sair nu bangunna saperti aseupan gedé dijieunna tina benang atawa kantéh saperti heurap
leres atanapi henteu leukeur pakakas paranti neundeun seeng,leres,Leukeur nyaéta pakakas paranti neundeun sééng anu dijieun tina nyéré atawa anyaman hoé
leres atanapi henteu padudan pakakas paranti udud daun bako,leres,"Padudan nyaéta hiji pakakas pikeun udud daun bako, wanguna lonyod kawas endog gedéna sakeupeul di luhurna molongo tur ngalogak paranti neundeun bako seungeuteun, dikantét ku paranti ngenyot haseupna wanguna nirus/beuki leutik jeung ipis kana palebah tungtung pangenyotna"
leres atanapi henteu paron talenan paranti ngolah beusi,leres,Paron nyaéta balok beusi anu kuat paranti panahan/talenan dina mangsa ngolah bahan tina beusi sangkan bisa dijieun wangun anu geus ditangtukeun
leres atanapi henteu patik pakakas nu nyaruaan kampak gede,leres,"Patik nyaéta parabot sarupa jeung kampak gedé tur maké gagang leuwih panjang, dipaké meulah atawa nuar tangkal kai"
leres atanapi henteu porog alat paranti newak sasatoan liar,leres,"Porog nyaéta hiji alat/parabot anu dijieun pikeun néwak sasatoan liar, utamana sasatoan anu matak ngaruksak kana tatanén jeung ingon-ingon ku lantaran bisa ngabalukarkeun karugian"
leres atanapi henteu posong alat paranti ngala lauk,leres,"Posong nyaéta pakakas paragi ngala lauk, belut, jeung sato cai séjéna. wangunna kawas botol dijieun tina anyaman awi"
leres atanapi henteu pakakas paranti ngurungan hayam ,leres,Ranggap nyaéta pakakas anu dijieun tina anyaman awi anu sok dianggo paranti ngurungan hayam
leres atanapi henteu rawe atawa jiret paranti newak sato linghas,leres,Rawé atawa jiret nyaéta tambang paranti néwak sato linghas
leres atanapi henteu rimbas pakakas paranti mapas kai,leres,Rimbas nyaéta pakakas anu gunana pikeun mapas kai
leres atanapi henteu sair parabot anyaman paranti ngala lauk,leres,sair nyaéta parabot tina anyaman paranti ngala lauk di walungan atawa kulah
leres atanapi henteu salang nyaeta tali paranti nanggung,leres,Salang nyaéta tali paranti nanggung anu dicantélkuen dina tungtung rancatan dijieun tina kulit tangkal waru beunang ngarara
leres atanapi henteu salumbat pakakas paranti mesek kalapa,leres,"Salumbat nyaéta pakakas paranti mesék kalapa, diwangun tina beusi atawa tina ruyung kawung "
leres atanapi henteu senteg pakakas paranti newak beurit,leres,Sentég nyaéta pakakas anu dipaké pikeun néwak beurit
leres atanapi henteu sikup pakakas paranti ngali,leres,"sikup nyaéta pakakas utama pikeun ngali, nu fungsina kawas pacul tapina lempeng"
leres atanapi henteu sugu pakakas paranti ngaratakeun kai,leres,"Sugu nyaéta pakakas anu dipaké pikeun ngaratakeun kai sangkan leuwih lemes, hadé katempona, tur masekon"
leres atanapi henteu sungkal pakakas tatanen paranti nyungkal taneuh,leres,Sungkal disebut ogé burujul nyaéta pakakas tatanén tina beusi perenahkeun ditapelkeun dina wuluku paranti nyungkalkeun taneuh
leres atanapi henteu tatah pakakas patukangan paranti ngukir barang teuas,leres,Tatah nyaéta pakakas patukangan mangrupa potongan beusi nu seukeut tungtungna pikeun ngaliangan atawa ngukir barang teuas
leres atanapi henteu tumbak pakarang paranti perang,leres,Tumbak nyaéta sarupaning pakarang paranti perang anu gagangna tina kai jeung seuseukeutna tina beusi anu méncos
leres atanapi henteu ububan pakakas paranti niup piruruh,leres,Ububan disebut ogé puputan nyaéta pakakas gosali paranti niup piruruh/parapén sangkan seuneuna tetep hurung
leres atanapi henteu urek alat paranti nguseup belut,leres,"Urek nyaéta useup atawa eluk anu ditalian maké kenur beunang ngagintir/ngarara dipaké pikeun nguseup belut, nguseup belut dina liangna disebut ngurek"
leres atanapi henteu kujang pakakas paranti muterkeun mur,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngala jukut atawa pare,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti meulah sabangsaning tatangkalan,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngaliangan awi,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngasah ragaji ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti mentang jamparing,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngala lauk,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngawaluku,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngala pare,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti nyacar,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas parati ngasah ragaji,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngait,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti naek ka luhur,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas nu bisa dijieun patik atawa rimbas,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti maculan taneuh,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti neunggeul nu beurat,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti nyapukeun buruan imah,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti nugar,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti maledogkeun batu,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti manah,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngaratakeun taneuh,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngeureutan sayur,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngumpulkeun jukut garing,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas paranti ngakut es kacang,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang pakakas nu bisa ngadek jeung nakol,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti wawadahan,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti motongan sayur ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyaring endog lamun enggeus digoreng ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti napikeun beas beunang nyosoh ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti wadah dahareun dina hajatan ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngala hu'ut lemes ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyangu,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngageberan waktu ngakeul,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngarendos bumbu,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyiksik bawang jeung sajabana ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti wadah cai pikeun nginum ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti gogoreng ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti moekeun lauk asin ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti wadah timbel ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang wadah nu gede paranti balanja ka pasar ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyieun dodol atawa wajit ,henteu,kujang nyaeta pakakas ciri khas sunda
"leres atanapi henteu kujang ngaran hawu leutik paranti ngaliwet, naheur cai ",henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang wadah cai badag paranti masak,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang tempat bubuahan nu dijeunna tina tembaga ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti niup seuneu dina hawu ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti tatakan ngarendos,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti wawadahan leutik kaulinan barudak ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngawadahan runtah ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang tempat paranti ngakeul ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang tempat paranti kadaharan ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngangeun ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyiuk angeun ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyieun surabi ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang tempat paranti kukumbah ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nutupan sangu dina aseupan ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyiuk cai ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngaliwet ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nutu ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang wawadahan tina jaring ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang tempat nyimpen bibinihan luhureun hawu,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang wawadahan paranti kadaharan keur ondangan ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti moe pare ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngakeul tina kai ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngeureutan daging ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyaangan rohangan ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti ngageleng jenggel keur nyieun opak ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyiuk beas tina batok kalapa,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang wawadahan nu digunakeun keur ngala buah ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu kujang alat paranti nyimpen beas ,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu gegendir pakakas paranti muterkeun mur,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngala jukut atawa pare,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti meulah sabangsaning tatangkalan,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngaliangan awi,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngasah ragaji ,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti mentang jamparing,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngala lauk,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngawaluku,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngala pare,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti nyacar,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas parati ngasah ragaji,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngait,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti naek ka luhur,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas nu bisa dijieun patik atawa rimbas,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti maculan taneuh,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti nakol goong,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti nyapukeun buruan imah,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti nugar,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti maledogkeun batu,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti manah,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngaratakeun taneuh,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngeureutan sayur,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngumpulkeun jukut garing,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas paranti ngakut es kacang,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir pakakas nu bisa ngadek jeung nakol,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti wawadahan,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti motongan sayur ,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti nyaring endog lamun enggeus digoreng ,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti napikeun beas beunang nyosoh ,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti wadah dahareun dina hajatan ,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti ngala hu'ut lemes ,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti nyangu,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti ngageberan waktu ngakeul,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu gegendir alat paranti ngarendos bumbu,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
